,Unnamed: 0,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
19374,19374,Ordinario,D'ELIOS Mario Milco,M,SIENA,,MED/04,06/A2,Medicina Molecolare e dello Sviluppo,2024,06 - Scienze mediche
19375,19375,Ricercatore a t.d. - t.pieno (L. 79/2022),D'ERASMO Laura,F,"ROMA ""La Sapienza""",,MED/09,06/B1,MEDICINA TRASLAZIONALE E DI PRECISIONE,2024,06 - Scienze mediche
19376,19376,Associato,D'ERCOLE Simonetta,F,CHIETI-PESCARA,,MED/07,06/A3,"Scienze Mediche, Orali e Biotecnologiche",2024,06 - Scienze mediche
19377,19377,Associato,D'ERMO Giuseppe,M,"ROMA ""La Sapienza""",,MED/18,06/C1,Chirurgia,2024,06 - Scienze mediche
19378,19378,Ordinario,D'ERRICO Antonietta,F,BOLOGNA,,MED/08,06/A4,Scienze Mediche e Chirurgiche,2024,06 - Scienze mediche
19379,19379,Ordinario,D'ERRICO Marcello Mario,M,Politecnica delle MARCHE,,MED/42,06/M1,SCIENZE BIOMEDICHE E SANITA' PUBBLICA,2024,06 - Scienze mediche
19380,19380,Associato,D'ERRICO Stefano,M,TRIESTE,,MED/43,06/M2,"Scienze Mediche, Chirurgiche e della Salute",2024,06 - Scienze mediche
19381,19381,Ordinario,D'ETTORRE Gabriella,F,"ROMA ""La Sapienza""",,MED/17,06/D4,Sanit� pubblica e malattie infettive,2024,06 - Scienze mediche
19382,19382,Ricercatore,D'INZEO Tiziana,F,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/07,06/A3,MICROBIOLOGIA,2024,06 - Scienze mediche
19383,19383,Associato,D'IPPOLITO Silvia,F,MOLISE,,MED/40,06/H1,"Dipartimento di Medicina e di Scienze della Salute ""Vincenzo Tiberio""",2024,06 - Scienze mediche
19384,19384,Associato,D'ONOFRIO Augusto,M,PADOVA,,MED/23,06/E1,SCIENZE CARDIO-TORACO-VASCOLARI E SANITA' PUBBLICA,2024,06 - Scienze mediche
19385,19385,Ordinario,D'ONOFRIO Mirko,M,VERONA,,MED/36,06/I1,Diagnostica e Sanità Pubblica,2024,06 - Scienze mediche
19386,19386,Associato,D'ORAZI Gabriella,F,UniCamillus - Saint Camillus International U,,MED/04,06/A2,Facolt� dipartimentale di Medicina,2024,06 - Scienze mediche
19387,19387,Associato,D'ORAZI Valerio,M,"ROMA ""La Sapienza""",,MED/18,06/C1,Chirurgia,2024,06 - Scienze mediche
19388,19388,Ordinario,D'ORAZIO Nicolantonio,M,CHIETI-PESCARA,,MED/49,06/D2,"Scienze Mediche, Orali e Biotecnologiche",2024,06 - Scienze mediche
19389,19389,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'ORIA Mario,M,TRIESTE,,MED/22,06/E1,"SCIENZE MEDICHE, CHIRURGICHE E DELLA SALUTE",2024,06 - Scienze mediche
19390,19390,Ricercatore a t.d. - t.pieno (L. 79/2022),D'ORONZO Stella,F,"LUM ""Giuseppe Degennaro""",,MED/06,06/D3,DIPARTIMENTO DI MEDICINA E CHIRURGIA,2024,06 - Scienze mediche
19391,19391,Ricercatore,D'ORSO Marco Italo,M,MILANO-BICOCCA,,MED/44,06/M2,MEDICINA E CHIRURGIA (School of Medicine and Surgery),2024,06 - Scienze mediche
19392,19392,Associato,D'OVIDIO Cristian,M,CHIETI-PESCARA,,MED/43,06/M2,Medicina e scienze dell'invecchiamento,2024,06 - Scienze mediche
19393,19393,Ordinario,D'UGO Domenico,M,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/18,06/C1,PATOLOGIA SPECIALE CHIRURGICA,2024,06 - Scienze mediche
19394,19394,Associato,D'URSO Antonio,M,"ROMA ""La Sapienza""",,MED/18,06/C1,Chirurgia,2024,06 - Scienze mediche
19395,19395,Ordinario,DA POZZO Luigi Filippo,M,MILANO-BICOCCA,,MED/24,06/E2,MEDICINA E CHIRURGIA (School of Medicine and Surgery),2024,06 - Scienze mediche
19396,19396,Associato,DA ROS Valerio,M,"ROMA ""Tor Vergata""",,MED/36,06/I1,Biomedicina e Prevenzione,2024,06 - Scienze mediche
19397,19397,Associato,DADDI Niccolo',M,BOLOGNA,,MED/21,06/E1,Scienze Mediche e Chirurgiche,2024,06 - Scienze mediche
19398,19398,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),DAGA Sergio,M,SIENA,,MED/03,06/A1,BIOTECNOLOGIE MEDICHE,2024,06 - Scienze mediche
19399,19399,Ricercatore,DAGIANTI Alessandra,F,"ROMA ""La Sapienza""",,MED/11,06/D1,"Scienze Cliniche Internistiche, Anestesiologiche e Cardiovascolari",2024,06 - Scienze mediche
19400,19400,Associato confermato,DAGNA Lorenzo,M,UNISR - San Raffaele,Medicina e Chirurgia ,MED/09,06/B1,FACOLTA' DI MEDICINA E CHIRURGIA,2024,06 - Scienze mediche
