Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,CIANCIO Vincenzo,M,MESSINA,Scienze Matematiche Fisiche e Naturali,MAT/07,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Straordinario,CIARLETTA Michele,M,SALERNO,Ingegneria,MAT/07,,INGEGNERIA ELETTRONICA E INGEGNERIA INFORMATICA/DIEII,2001,01 - Scienze matematiche e informatiche
Ricercatore,CIATTI Paolo,M,PADOVA,Ingegneria,MAT/05,,METODI E MODELLI MATEMATICI PER LE SCIENZE APPLICATE,2001,01 - Scienze matematiche e informatiche
Ricercatore non confermato,CICALESE Ferdinando,M,SALERNO,Scienze Matematiche Fisiche e Naturali,INF/01,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Ricercatore,CICCOLI Nicola,M,PERUGIA,Ingegneria,MAT/03,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CICOGNANI Massimo,M,BOLOGNA,Ingegneria,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CILIA Raffaela,F,CATANIA,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,CILIBERTO Ciro,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,CIMATTI Giovanni,M,PISA,Scienze Matematiche Fisiche e Naturali,MAT/07,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CIMMELLI Vito Antonio,M,BASILICATA,Scienze Matematiche Fisiche e Naturali,MAT/07,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CIMORONI Maria Gabriella,F,L'AQUILA,Ingegneria,MAT/08,,"INGEGNERIA MECCANICA, ENERGETICA E GESTIONALE",2001,01 - Scienze matematiche e informatiche
Ricercatore non confermato,CINCOTTI Gianluca,M,CATANIA,Scienze Matematiche Fisiche e Naturali,INF/01,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CINGOLANI Silvia,F,Politecnico di BARI,Ingegneria,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Assistente r.e.,CINOTTI Giuseppe,M,PISA,Ingegneria,MAT/05,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Associato confermato,CINQUE Luigi,M,"ROMA ""La Sapienza""",Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CINQUEGRANI Maria Grazia,F,CATANIA,Ingegneria,MAT/03,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Assistente r.e.,CINQUINI Giuseppe,M,PAVIA,Ingegneria,MAT/05,01/A3,Non disponibile,2001,01 - Scienze matematiche e informatiche
Ricercatore non confermato,CINTIOLI Patrizio,M,CAMERINO,Scienze Matematiche Fisiche e Naturali,MAT/01,,SCUOLA DI SCIENZE E TECNOLOGIE,2001,01 - Scienze matematiche e informatiche
Associato confermato,CIOFFI Antonietta,F,MILANO,Agraria,MAT/05,,INGEGNERIA AGRARIA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CIOFFI Francesca,F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA E APPLICAZIONI,2001,01 - Scienze matematiche e informatiche
Associato confermato,CIPOLLA Michele,M,PALERMO,Scienze Matematiche Fisiche e Naturali,MAT/03,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Ricercatore,CIPRIANI Fabio Eugenio Giovanni,M,Politecnico di MILANO,Ingegneria IV,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore non confermato,CIRILLO Emilio Nicola Maria,M,"ROMA ""La Sapienza""",Ingegneria,MAT/07,,SCIENZE DI BASE ED APPLICATE PER L'INGEGNERIA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CIRIZA Eleonora Beatriz,F,"ROMA ""Tor Vergata""",Ingegneria,MAT/03,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
