Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,MARINI Giovanni,M,PERUGIA,Giurisprudenza,IUS/02,12/E2,STUDI GIURIDICI -ALESSANDRO GIULIANI-,2011,12 - Scienze giuridiche
Ordinario,MARINI Giuseppe,M,ROMA TRE,Economia,IUS/12,12/D2,SCIENZE AZIENDALI ED ECONOMICO-GIURIDICHE,2011,12 - Scienze giuridiche
Associato confermato,MARINI Luca,M,"ROMA ""La Sapienza""",Economia (*),IUS/13,12/E1,DIRITTO ED ECONOMIA DELLE ATTIVITA' PRODUTTIVE,2011,12 - Scienze giuridiche
Associato confermato,MARINI Renato,M,"ROMA ""Tor Vergata""",Medicina e Chirurgia,IUS/01,12/A1,MEDICINA SPERIMENTALE E SCIENZE BIOCHIMICHE,2011,12 - Scienze giuridiche
Ricercatore,MARINO Adele,F,MESSINA,Economia,IUS/06,12/B1,STUDI EUROPEI E MEDITERRANEI,2011,12 - Scienze giuridiche
Associato confermato,MARINO Concetta Maria,F,CATANIA,,IUS/15,12/F1,Giurisprudenza,2011,12 - Scienze giuridiche
Ricercatore,MARINO Fabio,M,PADOVA,Giurisprudenza,IUS/18,12/H1,STORIA E FILOSOFIA DEL DIRITTO E DIRITTO CANONICO,2011,12 - Scienze giuridiche
Ordinario,MARINO Giovanni,M,Napoli Federico II,Giurisprudenza,IUS/20,12/H3,DIRITTO ROMANO E STORIA DELLA SCIENZA ROMANISTICA,2011,12 - Scienze giuridiche
Associato confermato,MARINO Giuseppe,M,MILANO,Scienze Politiche,IUS/12,12/D2,GIURIDICO POLITICO,2011,12 - Scienze giuridiche
Ordinario,MARINO Ignazio,M,CATANIA,Scienze Politiche,IUS/10,12/D1,ANALISI DEI PROCESSI POLITICI SOCIALI ED ISTITUZIONALI,2011,12 - Scienze giuridiche
Ricercatore,MARINO Roberta,F,Napoli Federico II,Economia,IUS/01,12/A1,DIRITTO DELL'ECONOMIA,2011,12 - Scienze giuridiche
Associato confermato,MARINUCCI Elena Sara Chiara,F,MILANO-BICOCCA,Giurisprudenza,IUS/15,12/F1,GIURIDICO DELLE ISTITUZIONI NAZIONALI ED EUROPEE,2011,12 - Scienze giuridiche
Ordinario,MARIUCCI Luigi,M,"""Ca' Foscari"" VENEZIA",Economia,IUS/07,12/B2,ECONOMIA,2011,12 - Scienze giuridiche
