Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,LOVATI Maria Rosa,F,MILANO,Farmacia,BIO/14,,SCIENZE FARMACOLOGICHE,2010,05 - Scienze biologiche
Associato non confermato,LOVISOLO Claudio,M,TORINO,Agraria,BIO/04,,COLTURE ARBOREE,2010,05 - Scienze biologiche
Ordinario,LOVISOLO Davide,M,TORINO,Scienze Matematiche Fisiche e Naturali,BIO/09,,SCIENZE DELLA VITA E BIOLOGIA DEI SISTEMI-LIFE SCIENCES AND SYSTEMS BIOLOGY,2010,05 - Scienze biologiche
Associato confermato,LOY Anna,F,MOLISE,Scienze Matematiche Fisiche e Naturali,BIO/05,,SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO,2010,05 - Scienze biologiche
Ricercatore,LOY Francesco,M,CAGLIARI,Medicina e Chirurgia,BIO/16,,CITOMORFOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LOZZI Luisa,F,SIENA,Medicina e Chirurgia,BIO/10,,BIOTECNOLOGIE,2010,05 - Scienze biologiche
Ricercatore non confermato,LUCA Giovanni,M,PERUGIA,Medicina e Chirurgia,BIO/17,,MEDICINA SPERIMENTALE E SCIENZE BIOCHIMICHE,2010,05 - Scienze biologiche
Ordinario,LUCACCHINI Antonio,M,PISA,Farmacia,BIO/10,,"PSICHIATRIA,NEUROBIOLOGIA, FARMACOLOGIA E BIOTECNOLOGIE",2010,05 - Scienze biologiche
Ricercatore,LUCADAMO Lucio,M,della CALABRIA,Scienze Matematiche Fisiche e Naturali,BIO/07,,ECOLOGIA,2010,05 - Scienze biologiche
Associato confermato,LUCARELLI Marco,M,"ROMA ""La Sapienza""",Farmacia e Medicina (*),BIO/12,,BIOTECNOLOGIE CELLULARI ED EMATOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LUCARELLI Marco,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,BIO/05,,BIOLOGIA,2010,05 - Scienze biologiche
Associato confermato,LUCARINI Nazzareno,M,CAMERINO,Scienze e Tecnologie,BIO/18,,"BIOLOGIA MOLECOLARE, CELLULARE E ANIMALE",2010,05 - Scienze biologiche
Associato confermato,LUCCHESE Fernando,M,ROMA TRE,Scienze Matematiche Fisiche e Naturali,BIO/02,,BIOLOGIA AMBIENTALE,2010,05 - Scienze biologiche
Ricercatore,LUCCHETTI Cristina,F,MODENA e REGGIO EMILIA,Medicina e Chirurgia,BIO/09,,SCIENZE BIOMEDICHE,2010,05 - Scienze biologiche
Ordinario,LUCCHINI Giovanna,F,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,BIO/18,,BIOTECNOLOGIE E BIOSCIENZE,2010,05 - Scienze biologiche
Ricercatore non confermato,LUCENTINI Livia,F,PERUGIA,Scienze Matematiche Fisiche e Naturali,BIO/06,,BIOLOGIA CELLULARE E AMBIENTALE,2010,05 - Scienze biologiche
Ricercatore,LUCERI Cristina,F,FIRENZE,Farmacia,BIO/14,,"FARMACOLOGIA PRECLINICA E CLINICA ""M. AIAZZI MANCINI""",2010,05 - Scienze biologiche
Ricercatore,LUCHETTI Francesca,F,Urbino Carlo Bo,Scienze Motorie,BIO/16,,"SCIENZE DELLA TERRA, DELLA VITA E DELL'AMBIENTE (DISTEVA)",2010,05 - Scienze biologiche
Ricercatore,LUCIANI Stefania,F,CAMERINO,Scienze e Tecnologie,BIO/08,,SCUOLA DI BIOSCIENZE E BIOTECNOLOGIE,2010,05 - Scienze biologiche
Ricercatore,LUCINI Valeria,F,MILANO,Medicina e Chirurgia,BIO/14,,"FARMACOLOGIA, CHEMIOTERAPIA E TOSSICOLOGIA MEDICA",2010,05 - Scienze biologiche
Ricercatore non confermato,LUDOVISI Alessandro,M,PERUGIA,Scienze Matematiche Fisiche e Naturali,BIO/07,,BIOLOGIA CELLULARE E AMBIENTALE,2010,05 - Scienze biologiche
Ricercatore non confermato,LUGANINI Anna,F,TORINO,Scienze Matematiche Fisiche e Naturali,BIO/19,,SANITA' PUBBLICA E DI MICROBIOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LUGLI Marco,M,PARMA,Medicina e Chirurgia,BIO/13,,BIOLOGIA EVOLUTIVA E FUNZIONALE,2010,05 - Scienze biologiche
Associato confermato,LUGLIE' Antonella Gesuina Laura,F,SASSARI,Scienze Matematiche Fisiche e Naturali,BIO/07,,"SCIENZE BOTANICHE, ECOLOGICHE E GEOLOGICHE",2010,05 - Scienze biologiche
Associato confermato,LUI Fausta,F,MODENA e REGGIO EMILIA,Medicina e Chirurgia,BIO/09,,SCIENZE BIOMEDICHE,2010,05 - Scienze biologiche
Associato confermato,LUISELLI Donata,F,BOLOGNA,Scienze Matematiche Fisiche e Naturali,BIO/08,,BIOLOGIA EVOLUZIONISTICA SPERIMENTALE,2010,05 - Scienze biologiche
Ordinario,LULY Paolo,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,BIO/09,,BIOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LUNGHINI Dario,M,"ROMA ""La Sapienza""",Scienze Matematiche Fisiche e Naturali (*),BIO/02,,BIOLOGIA AMBIENTALE,2010,05 - Scienze biologiche
Straordinario,LUPARELLO Claudio,M,PALERMO,Scienze Matematiche Fisiche e Naturali,BIO/06,,SCIENZE E TECNOLOGIE MOLECOLARI E BIOMOLECOLARI (STEMBIO),2010,05 - Scienze biologiche
Associato confermato,LUPETTI Pietro,M,SIENA,Scienze Matematiche Fisiche e Naturali,BIO/05,,BIOLOGIA EVOLUTIVA,2010,05 - Scienze biologiche
Associato confermato,LUPIDI Giulio,M,CAMERINO,Farmacia,BIO/10,,SCUOLA DI SCIENZE DEL FARMACO E DEI PRODOTTI DELLA SALUTE,2010,05 - Scienze biologiche
Associato confermato,LUPO Angelo,M,SANNIO di BENEVENTO,Scienze Matematiche Fisiche e Naturali,BIO/10,,"SCIENZE PER LA BIOLOGIA, LA GEOLOGIA E L'AMBIENTE",2010,05 - Scienze biologiche
Associato confermato,LUPO Gabriella,F,CATANIA,Medicina e Chirurgia,BIO/10,,BIO-MEDICINA CLINICA E MOLECOLARE,2010,05 - Scienze biologiche
Ordinario,LUPORINI Pierangelo,M,CAMERINO,Scienze e Tecnologie,BIO/05,,SCUOLA DI SCIENZE AMBIENTALI,2010,05 - Scienze biologiche
Ordinario,LUPPINO Giuseppe,M,PARMA,Medicina e Chirurgia,BIO/09,,NEUROSCIENZE,2010,05 - Scienze biologiche
Ricercatore,LUSCHI Paolo,M,PISA,Scienze Matematiche Fisiche e Naturali,BIO/05,,BIOLOGIA,2010,05 - Scienze biologiche
