Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
101166930,RECAP,"Benedetta Ciardi, Kirsten Kraiberg Knudsen, Laura Pentericci, Valentina D'Odorico","Chalmers University of Technology [999980373,SE], Max Planck Society [999990267,DE], National Institute for Astrophysics - Italy [999868920,IT], National Institute for Astrophysics - Italy [999868920,IT]",Synergy Grants,2024,9765000.0
101167101,REM@KE,"Andrea Schiavio, Joel Speerstra, Massimiliano Guido","University of Gothenburg [999981925,SE], University of Pavia [999893752,IT], University of York [999978336,UK]",Synergy Grants,2024,8031361.0
101167218,SKIN2DTRONICS,"Andras Kis, Andres Castellanos-Gomez, Gianluca Fiori, Kostas Kostarelos","Catalan Institute of Nanoscience and Nanotechnology (ICN2) [999606923,ES], Spanish National Research Council (CSIC) [999991722,ES], Swiss Federal Institute of Technology Lausanne (EPFL) [999973971,CH], University of Pisa [999862712,IT]",Synergy Grants,2024,9896897.0
101212751,VSoft Pro,Antonio Bicchi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2024,150000.0
101118626,EndoTheranostics,"Alberto Arezzo, Bruno Siciliano, Kaspar Althoefer","Consortium for Energy Research and Technological Applications of Electromagnetism (C.R.E.A.T.E.) [954718427,IT], University of London - Queen Mary College [999847677,UK], University of Turin [999861936,IT]",Synergy Grants,2023,7616426.25
101118565,LAST NEANDERTHALS,"Francesco Berna, Omry Barzilai, Stefano Benazzi","University of Bologna [999993953,IT], University of Haifa [999897826,IL], University of Siena [999898020,IT]",Synergy Grants,2023,12920328.0
101071533,CASTLE,"Michael R. Wasielewski, Robert Bittl, Roberta Sessoli, Stefano Carretta","Free University of Berlin [999994826,DE], Northwestern University [999627778,US], University of Florence [999895789,IT], University of Parma [999846028,IT]",Synergy Grants,2022,8976957.0
101071900,NEMESIS,"Gustavo Deco, Marcello Massimini, Maria Victoria Sanchez-Vives, Maurizio Corbetta","Clinic Foundation for Biomedical Research - August Pi i Sunyer Biomedical Research Institute (FCRB-IDIBAPS) [999477525,ES], Pompeu Fabra University [999867077,ES], University of Milan [999995796,IT], University of Padua [999995602,IT]",Synergy Grants,2022,9927253.75
101069179,WISH,Antonio Bicchi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2022,150000.0
855923,ASTRA,"Giancarlo Ruocco, Giangaetano Tartaglia, Irene Bozzoni","Italian Institute of Technology [999596447,IT], Italian Institute of Technology [999596447,IT], Sapienza University of Rome [999987745,IT]",Synergy Grants,2019,7741799.0
810182,SCOPE,"Annemie Bogaerts, Evgeny Rebrov, Gabriele Centi","University of Antwerp [999902870,BE], University of Messina [999662601,IT], University of Warwick [999976784,UK]",Synergy Grants,2018,9979269.38
810356,SOLID,"Hanspeter Kriesi, Maurizio Ferrera, Waltraud Schelkle","European University Institute [999902385,IT], European University Institute [999902385,IT], University of Milan [999995796,IT]",Synergy Grants,2018,9604137.75
101189458,PREDICT,Chiara Ambrogio,"University of Turin [999861936,IT]",Proof of Concept,2024,150000.0
101117436,KAPTION,Irene Gallina,"University of Padua [999995602,IT]",Starting Grants,2023,1494774.0
101142614,TOPOMECH,Marco Foiani,"National Research Council (CNR) - Italy [999979500,IT]",Advanced Grants,2023,2493665.0
101078838,CentroFun,Simona Giunta,"Sapienza University of Rome [999987745,IT]",Starting Grants,2022,1500000.0
101076026,TRANS-3,Alessandro Bertero,"University of Turin [999861936,IT]",Starting Grants,2022,1769998.0
101094471,MetaQ,Andrea Mattevi,"University of Pavia [999893752,IT]",Advanced Grants,2022,2107750.0
101041298,THYROMOL,Francesca Coscia,"Human Technopole [895748732,IT]",Starting Grants,2021,1498750.0
101001288,KARMA,Chiara Ambrogio,"University of Turin [999861936,IT]",Consolidator Grants,2020,1996853.0
875139,FIREQUENCHER,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Proof of Concept,2019,150000.0
819826,CiliaTubulinCode,Gaia Pigino,"Human Technopole [895748732,IT]",Consolidator Grants,2018,1986406.0
737561,RNAging,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Proof of Concept,2016,149950.0
682190,REPSUMODDT,Dana Branzei,"FIRC - Institute of Molecular Oncology [999534367,IT]",Consolidator Grants,2015,1991250.0
664713,DDRNA,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Proof of Concept,2014,149425.0
614541,DNAMEREP,Vincenzo Costanzo,"University of Milan [999995796,IT]",Consolidator Grants,2013,1999800.0
340172,MUNCODD,Irene Bozzoni,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2013,2000000.0
322726,DDRNA,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Advanced Grants,2012,2329200.0
294777,mitoCalcium,Rosario Rizzuto,"University of Padua [999995602,IT]",Advanced Grants,2011,2432400.0
242928,REPSUBREP,Dana Branzei,"FIRC - Institute of Molecular Oncology [999534367,IT]",Starting Grants,2009,1841600.0
101171662,SPECOLA,Davide Risso,"University of Padua [999995602,IT]",Consolidator Grants,2024,1979375.0
101125077,DARC MATTER,Andrea Sottoriva,"Human Technopole [895748732,IT]",Consolidator Grants,2023,1995582.0
101125051,DepSHOCK,Francesco Iorio,"Human Technopole [895748732,IT]",Consolidator Grants,2023,1999455.0
101088408,RADIALIS,Marzena Magda Bienko,"Human Technopole [895748732,IT]",Consolidator Grants,2022,1999655.0
759154,CellKarma,Davide Cacchiarelli,"Telethon Foundation [999448716,IT]",Starting Grants,2017,1497250.0
694282,LYSOSOMICS,Andrea Ballabio,"Telethon Foundation [999448716,IT]",Advanced Grants,2015,2362562.5
648670,SPICE,Francesca Demichelis,"University of Trento [999841954,IT]",Consolidator Grants,2014,1996428.0
670881,SYSMET,Maria Antonietta De Matteis,"Telethon Foundation [999448716,IT]",Advanced Grants,2014,2241250.0
324615,7TReImHo, ,"European Institute of Oncology [999969703,IT]",Proof of Concept,2012,146917.0
322749,DEPTH,Giovanni Cesareni,"University of Rome - Tor Vergata [999844864,IT]",Advanced Grants,2012,2639804.0
260897,AnoRep,Flaminia Catteruccia,"University of Perugia [999846319,IT]",Starting Grants,2010,1500000.0
250154,CLEAR,Andrea Ballabio,"Telethon Foundation [999448716,IT]",Advanced Grants,2009,2100000.0
202896,DENDROworld,Maria Rescigno,"European Institute of Oncology [999969703,IT]",Starting Grants,2007,1195680.0
101142557,INTEGRATE,Luca Scorrano,"University of Padua [999995602,IT]",Advanced Grants,2023,2499935.0
101111993,T-BAP,Diego Pasini,"European Institute of Oncology [999969703,IT]",Proof of Concept,2022,150000.0
101002280,EGFRtoMITO,Sara Sigismund,"University of Milan [999995796,IT]",Consolidator Grants,2020,1840125.0
101003186,ReviveSTEM,Raffaella Di Micco,"San Raffaele Hospital [953176030,IT]",Consolidator Grants,2020,2000000.0
716910,MetEpiStem,Graziano Martello,"University of Padua [999995602,IT]",Starting Grants,2016,1498232.0
725268,DissectPcG,Diego Pasini,"University of Milan [999995796,IT]",Consolidator Grants,2016,2000000.0
282280,ERMITO,Luca Scorrano,"University of Padua [999995602,IT]",Starting Grants,2011,1499995.2
260368,ROMA,Sabrina Sabatini,"Sapienza University of Rome [999987745,IT]",Starting Grants,2010,1475999.2
233033,MAMMASTEM,Pier Paolo Di Fiore,"FIRC - Institute of Molecular Oncology [999534367,IT]",Advanced Grants,2008,2274862.0
101163480,CODE-HEART,Carolina Greco,"Humanitas University [932462747,IT]",Starting Grants,2024,1721063.0
101164006,GLP1RES,Elisa Araldi,"University of Parma [999846028,IT]",Starting Grants,2024,1500000.0
101163219,IDENTIKIT,Irene Franco,"Vita-Salute San Raffaele University [999854467,IT]",Starting Grants,2024,1500000.0
101115959,Novel.CaRe,Paola Cattaneo,"University of Milan [999995796,IT]",Starting Grants,2023,1592281.0
101126135,CONNASHION,Donato Inverso,"Vita-Salute San Raffaele University [999854467,IT]",Consolidator Grants,2023,1741250.0
101142691,QtCilia,Alessandra Boletta,"San Raffaele Hospital [953176030,IT]",Advanced Grants,2023,2500000.0
101075624,SEMICYCLE,Serena Sanna,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2022,1499286.0
101113229,TELOVACCINE,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Proof of Concept,2022,150000.0
101098074,CHARTAGING,Stefano Piccolo,"University of Padua [999995602,IT]",Advanced Grants,2022,2811871.0
101097752,INCANTAR,Andrea Ballabio,"Telethon Foundation [999448716,IT]",Advanced Grants,2022,2496625.0
101045285,AUTO-SELECT,Carmine Settembre,"University of Naples Federico II [999976590,IT]",Consolidator Grants,2021,1993750.0
101055323,MATILDA,Michela Matteoli,"Humanitas Hospital [999785015,IT]",Advanced Grants,2021,2500000.0
963865,MELASTOP,Massimo Santoro,"University of Padua [999995602,IT]",Proof of Concept,2020,150000.0
963982,RE-STORE,Carmine Settembre,"Telethon Foundation [999448716,IT]",Proof of Concept,2020,150000.0
101001746,Mini-HEART,Milena Bellin,"University of Padua [999995602,IT]",Consolidator Grants,2020,2000000.0
101019891,SIMPOSION,Paola Romagnani,"University of Florence [999895789,IT]",Advanced Grants,2020,2296900.0
853057,InflaPML,Carlotta Giorgi,"University of Ferrara [999839626,IT]",Starting Grants,2019,1462500.0
835103,TeloRNAging,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Advanced Grants,2018,2497500.0
759921,SymPAtHY,Daniela Carnevale,"Sapienza University of Rome [999987745,IT]",Starting Grants,2017,1497831.0
779802,ITHACA,Pier Giuseppe Pelicci,"European Institute of Oncology [999969703,IT]",Proof of Concept,2017,150000.0
714551,BONEPHAGY,Carmine Settembre,"Telethon Foundation [999448716,IT]",Starting Grants,2016,1586430.0
742922,V-EPC,Elisabetta Dejana,"FIRC - Institute of Molecular Oncology [999534367,IT]",Advanced Grants,2016,2451250.0
713734,miRCaP,Gianluigi Condorelli,"Humanitas Hospital [999785015,IT]",Proof of Concept,2015,150000.0
647057,rEnDOx,Massimo Santoro,"University of Padua [999995602,IT]",Consolidator Grants,2014,1999827.0
648274,RENOIR,Paola Romagnani,"University of Florence [999895789,IT]",Consolidator Grants,2014,1772718.75
670126,DENOVOSTEM,Stefano Piccolo,"University of Padua [999995602,IT]",Advanced Grants,2014,2498934.0
341131,InMec,Pier Giuseppe Pelicci,"European Institute of Oncology [999969703,IT]",Advanced Grants,2013,2500000.0
324621,ALKVAX, ,"University of Turin [999861936,IT]",Proof of Concept,2012,149938.96
322977,WAYS,Adriana Caterina Elvira Maggi,"University of Milan [999995796,IT]",Advanced Grants,2012,1445381.0
282310,MyoPHAGY,Marco Sandri,"Foundation for Advanced Biomedical Research - Italy [997305889,IT]",Starting Grants,2011,1250000.0
294609,CARDIOEPIGEN,Gianluigi Condorelli,"Humanitas Hospital [999785015,IT]",Advanced Grants,2011,2500000.0
268671,MYCNEXT,Bruno Amati,"European Institute of Oncology [999969703,IT]",Advanced Grants,2010,2494000.0
268836,The MetaEndoMatrix,Giorgio Scita,"FIRC - Institute of Molecular Oncology [999534367,IT]",Advanced Grants,2010,2232200.0
268870,Wnt for brain,Elisabetta Dejana,"FIRC - Institute of Molecular Oncology [999534367,IT]",Advanced Grants,2010,2390200.0
242965,LUNELY,Roberto Chiarle,"University of Turin [999861936,IT]",Starting Grants,2009,1010000.0
101125054,BRAINAMICS,Alessandro Gozzi,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2023,1999438.0
101075848,FLEXIN,Katja Reinhard,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2022,1544651.0
101088207,REDIRECT,Miriam Melis,"University of Cagliari [999841663,IT]",Consolidator Grants,2022,1999138.0
101043003,IMPACT,Simona Lodato,"Humanitas University [932462747,IT]",Starting Grants,2021,1490000.0
957538,FUTURE-NHP,Luca Bonini,"University of Parma [999846028,IT]",Proof of Concept,2020,150000.0
101002704,EMACTIVE,Luca Bonini,"University of Parma [999846028,IT]",Consolidator Grants,2020,1999231.0
851966,AXONENDO,Jean-Michel Cioni,"San Raffaele Hospital [953176030,IT]",Starting Grants,2019,1499563.0
875031,SMARTLABCAM,Davide Zoccolan,"International School for Advanced Studies - Trieste [999850878,IT]",Proof of Concept,2019,150000.0
802371,DisConn,Alessandro Gozzi,"Italian Institute of Technology [999596447,IT]",Starting Grants,2018,1498125.0
737609,NEUROMICRONICA,Mathew Ernest Diamond,"International School for Advanced Studies - Trieste [999850878,IT]",Proof of Concept,2016,150000.0
725563,GenEdiDS,Laura Cancedda,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2016,2000000.0
742436,HD-DittoGraph,Elena Cattaneo,"University of Milan [999995796,IT]",Advanced Grants,2016,2040943.0
678307,WIRELESS,Luca Bonini,"University of Parma [999846028,IT]",Starting Grants,2015,1499338.0
648734,HUMO,Aldo Genovesio,"Sapienza University of Rome [999987745,IT]",Consolidator Grants,2014,1028750.0
335590,NEVAI,Dario Bonanomi,"San Raffaele Hospital [953176030,IT]",Starting Grants,2013,1653000.0
616803,LEARN2SEE,Davide Franco Zoccolan,"International School for Advanced Studies - Trieste [999850878,IT]",Consolidator Grants,2013,2000000.0
281072,RSSCEMSR,Benedetto Sacchetti,"University of Turin [999861936,IT]",Starting Grants,2011,1116000.0
294498,CONCEPT,Mathew Diamond,"International School for Advanced Studies - Trieste [999850878,IT]",Advanced Grants,2011,2500000.0
242809,MindTravel,Emiliano Macaluso,"Saint Lucia Foundation and Hospital [999583449,IT]",Starting Grants,2009,1219597.0
250013,Cogsystems,Giacomo Rizzolatti,"University of Parma [999846028,IT]",Advanced Grants,2009,1992000.0
101170262,AUTO-T-NERVES,Daniela Latorre,"Vita-Salute San Raffaele University [999854467,IT]",Consolidator Grants,2024,2000000.0
101116224,GREMLIN,Marco De Giovanni,"Vita-Salute San Raffaele University [999854467,IT]",Starting Grants,2023,1500000.0
101138728,S-CAM,Matteo Iannacone,"San Raffaele Hospital [953176030,IT]",Proof of Concept,2023,150000.0
101141363,EUCLIDEAN,Matteo Iannacone,"Vita-Salute San Raffaele University [999854467,IT]",Advanced Grants,2023,2500000.0
101069397,NeutrAD,Gabriela Constantin,"University of Verona [999838074,IT]",Proof of Concept,2022,150000.0
957502,2LIVEr,Matteo Iannacone,"San Raffaele Hospital [953176030,IT]",Proof of Concept,2020,150000.0
853179,SYNVIVO,Giulia Pasqual,"University of Padua [999995602,IT]",Starting Grants,2019,1500000.0
899770,MOBILISE,Antonella Viola,"University of Padua [999995602,IT]",Proof of Concept,2019,150000.0
885539,ENGRAB,Antonio Lanzavecchia,"National Institute of Molecular Genetics - Italy [998645168,IT]",Advanced Grants,2019,2478125.0
725038,FATE,Matteo Iannacone,"San Raffaele Hospital [953176030,IT]",Consolidator Grants,2016,2390000.0
693606,IMPEDE,Gabriela Constantin,"University of Verona [999838074,IT]",Proof of Concept,2015,150000.0
695714,IMMUNOALZHEIMER,Gabriela Constantin,"University of Verona [999838074,IT]",Advanced Grants,2015,2500000.0
692789,MEDICI,Gioacchino Natoli,"European Institute of Oncology [999969703,IT]",Advanced Grants,2015,2500000.0
640511,PERSYST,Enrico Lugli,"Humanitas Hospital [999785015,IT]",Starting Grants,2014,1500000.0
669415,PHII,Alberto Mantovani,"Humanitas Hospital [999785015,IT]",Advanced Grants,2014,2497081.0
615735,HomeoGUT,Maria Rescigno,"Humanitas University [932462747,IT]",Consolidator Grants,2013,2000000.0
310496,menTORingTregs,Giuseppe Matarese,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2012,1500000.0
322823,STePS,Antonella Viola,"University of Padua [999995602,IT]",Advanced Grants,2012,2350342.0
281648,IVM-VIRUS-nAb,Matteo Iannacone,"Vita-Salute San Raffaele University [999854467,IT]",Starting Grants,2011,1934200.0
261079,NEUROTRAFFICKING,Gabriela Constantin,"University of Verona [999838074,IT]",Starting Grants,2010,1199880.0
268757,NORM,Gioacchino Natoli,"European Institute of Oncology [999969703,IT]",Advanced Grants,2010,2436200.0
250219,Liver IVM and HBV,Luca Guidotti,"San Raffaele Hospital [953176030,IT]",Advanced Grants,2009,2046200.0
233417,HIIS,Alberto Mantovani,"Humanitas Hospital [999785015,IT]",Advanced Grants,2008,2066200.0
101163870,eHSCT,Attya Omer,"Vita-Salute San Raffaele University [999854467,IT]",Starting Grants,2024,1500000.0
101163931,GLIOMERS,Alessio Malfanti,"University of Padua [999995602,IT]",Starting Grants,2024,1498175.0
101164722,NextGeneTx,Ivana Trapani,"Telethon Foundation [999448716,IT]",Starting Grants,2024,1500000.0
101165007,ResolVE-XAS,Samuele Ferrari,"San Raffaele Hospital [953176030,IT]",Starting Grants,2024,1500000.0
101170780,HEPAGENE,Alessio Cantore,"Vita-Salute San Raffaele University [999854467,IT]",Consolidator Grants,2024,1993750.0
101170490,TalesfromDeath,Daniela Cesana,"San Raffaele Hospital [953176030,IT]",Consolidator Grants,2024,2000000.0
101117893,METABALANCANCER,Claudio Vernieri,"University of Milan [999995796,IT]",Starting Grants,2023,1499250.0
101158288,easi-IPMN,Renato Ostuni,"Vita-Salute San Raffaele University [999854467,IT]",Proof of Concept,2023,150000.0
101137970,MABank,Giulio Cossu,"San Raffaele Hospital [953176030,IT]",Proof of Concept,2023,150000.0
101123230,MYELOMA-RISK,Niccolo Bolli,"University of Milan [999995796,IT]",Proof of Concept,2023,150000.0
101123346,reMARK-AML,Maria Paola Martelli,"University of Perugia [999846319,IT]",Proof of Concept,2023,150000.0
101076572,DEGLYCAR-T,Monica Casucci,"San Raffaele Hospital [953176030,IT]",Starting Grants,2022,1500000.0
101078646,REACT-DC,Marco Gargaro,"University of Perugia [999846319,IT]",Starting Grants,2022,1500000.0
101081529,AI CUrES,Valentina Cauda,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2022,150000.0
101111780,INSITUOMVAC,Guido Grandi,"BIOMVIS - Italy [895195929,IT]",Proof of Concept,2022,150000.0
101113466,PAIN-CARE,Pierangelo Geppetti,"Gemelli University Hospital Rome [918081430,IT]",Proof of Concept,2022,150000.0
101069392,Syst-Onco-Herpes,Maria Gabriella Campadelli-Fiume,"Sant’Orsola Foundation [890539929,IT]",Proof of Concept,2022,150000.0
101069395,TREM2MICROENGINES,Alessandra Biffi,"University of Padua [999995602,IT]",Proof of Concept,2022,150000.0
101086988,MAMELI,Valentina Bollati,"University of Milan [999995796,IT]",Consolidator Grants,2022,2993251.0
101088887,MEFHISTO,Renato Ostuni,"Vita-Salute San Raffaele University [999854467,IT]",Consolidator Grants,2022,2000000.0
101097155,EXPEDITE,Alberto Auricchio,"Telethon Foundation [999448716,IT]",Advanced Grants,2022,2492303.0
101098201,PROACTIVE,Rino Rappuoli,"Toscana Life Sciences (TLS) Foundation [998436424,IT]",Advanced Grants,2022,2498750.0
101044032,HSC-reNEW,Andrea Ditadi,"San Raffaele Hospital [953176030,IT]",Consolidator Grants,2021,2000000.0
101055300,ReprOids,Nicola Elvassore,"University of Padua [999995602,IT]",Advanced Grants,2021,2500000.0
101055262,TARGETNMDs,Alessandra Biffi,"University of Padua [999995602,IT]",Advanced Grants,2021,2495250.0
957563,XtraUS,Valentina Cauda,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2020,150000.0
101019289,Holo-GT,Michele De Luca,"University of Modena and Reggio Emilia [999840887,IT]",Advanced Grants,2020,2462375.0
101020342,TARGET,Alberto Bardelli,"University of Turin [999861936,IT]",Advanced Grants,2020,2489232.0
850936,PANDORA,Loris Rizzello,"University of Milan [999995796,IT]",Starting Grants,2019,1495018.0
899727,DUPDOWN,Giuseppe Testa,"University of Milan [999995796,IT]",Proof of Concept,2019,150000.0
899838,ENHANCIDO,Ursula Grohmann,"University of Perugia [999846319,IT]",Proof of Concept,2019,150000.0
899963,SpinRec,Giandomenico Iannetti,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2019,150000.0
884952,UniMab,Giulio Cossu,"San Raffaele Hospital [953176030,IT]",Advanced Grants,2019,2345625.0
842423,BrainCircuit-on-chip,Vania Broccoli,"San Raffaele Hospital [953176030,IT]",Proof of Concept,2018,150000.0
825942,EASY-IPS,Nicola Brunetti-Pierri,"Telethon Foundation [999448716,IT]",Proof of Concept,2018,150000.0
813223,inSight,Enrico Maria Surace,"University of Naples Federico II [999976590,IT]",Proof of Concept,2018,150000.0
813099,MicroTher,Luigina Romani,"University of Perugia [999846319,IT]",Proof of Concept,2018,150000.0
817997,bECOMiNG,Niccolo Bolli,"University of Milan [999995796,IT]",Consolidator Grants,2018,1998781.0
819815,ImmunoStem,Anna Christina Kajaste-Rudnitski,"San Raffaele Hospital [953176030,IT]",Consolidator Grants,2018,1994375.0
835286,SCOPE,Pierangelo Geppetti,"University of Florence [999895789,IT]",Advanced Grants,2018,2185921.0
834634,VACCIBIOME,Guido Grandi,"University of Trento [999841954,IT]",Advanced Grants,2018,2450000.0
759532,X-TAM,Renato Ostuni,"San Raffaele Hospital [953176030,IT]",Starting Grants,2017,1498125.0
780807,DIDO-MS,Ursula Grohmann Carmignani,"University of Perugia [999846319,IT]",Proof of Concept,2017,150000.0
780417,OMVCRC,Guido Grandi,"University of Trento [999841954,IT]",Proof of Concept,2017,150000.0
780386,VERA,Valentina Bollati,"University of Milan [999995796,IT]",Proof of Concept,2017,149939.0
772970,MicroC,Francesca Meteora Buffa,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2017,1996325.0
787552,vAMRes,Rino Rappuoli,"Toscana Life Sciences (TLS) Foundation [998436424,IT]",Advanced Grants,2017,2432500.0
714388,NeuroTRACK,Federica Agosta,"San Raffaele Hospital [953176030,IT]",Starting Grants,2016,1496994.0
727313,AB-SWITCH,Francesco Ricci,"University of Rome - Tor Vergata [999844864,IT]",Proof of Concept,2016,150000.0
755075,GeneVision,Alberto Auricchio,"Telethon Foundation [999448716,IT]",Proof of Concept,2016,150000.0
724748,BEAT,Andrea Bertotti,"University of Turin [999861936,IT]",Consolidator Grants,2016,1793421.0
725725,ContraNPM1AML,Maria Paola Martelli,"University of Perugia [999846319,IT]",Consolidator Grants,2016,1883749.68
740230,TREAT-NPM1-AML,Brunangelo Falini,"University of Perugia [999846319,IT]",Advanced Grants,2016,2895836.0
678151,TROJANANOHORSE,Valentina Alice Cauda,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2015,1489219.0
680766,FAST-DEVELOPS,Roberto Testi,"University of Rome - Tor Vergata [999844864,IT]",Proof of Concept,2015,150000.0
713652,LSDiASD,Giuseppe Testa,"University of Milan [999995796,IT]",Proof of Concept,2015,145250.0
694323,EYEGET,Alberto Auricchio,"Telethon Foundation [999448716,IT]",Advanced Grants,2015,2499564.0
639548,STARS,Monica Dentice,"University of Naples Federico II [999976590,IT]",Starting Grants,2014,1310000.0
640955,A CACTUS,Giacinto Scoles,"University of Udine [999899281,IT]",Proof of Concept,2014,149875.0
649020,PAINSTRAT,Giandomenico Iannetti,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2014,1627825.0
669387,EU-rhythmy,Silvia Giuliana Priori,"University of Pavia [999893752,IT]",Advanced Grants,2014,2314029.0
336493,NATURE NANODEVICES,Francesco Ricci,"University of Rome - Tor Vergata [999844864,IT]",Starting Grants,2013,1458600.0
616441,DISEASEAVATARS,Giuseppe Testa,"University of Milan [999995796,IT]",Consolidator Grants,2013,1997804.0
617978,FIGHT-CANCER,Massimiliano Pagani,"University of Milan [999995796,IT]",Consolidator Grants,2013,1998000.0
617471,Hairy Cell Leukemia,Enrico Tiacci,"University of Perugia [999846319,IT]",Consolidator Grants,2013,2000000.0
615879,HIV LTR G-4,Sara Richter,"University of Padua [999995602,IT]",Consolidator Grants,2013,1989471.0
617162,HSCsforLSDbrain,Alessandra Biffi,"University of Padua [999995602,IT]",Consolidator Grants,2013,1751147.0
338954,DIDO,Ursula Grohmann,"University of Perugia [999846319,IT]",Advanced Grants,2013,2442078.0
340915,OMVac,Guido Grandi,"University of Trento [999841954,IT]",Advanced Grants,2013,2612828.0
340060,ONCOLYTIC-HERPES,Maria Gabriella Campadelli,"University of Bologna [999993953,IT]",Advanced Grants,2013,2477346.0
340527,ReproPARK,Vania Broccoli,"San Raffaele Hospital [953176030,IT]",Advanced Grants,2013,2415767.0
338999,TRANSLATE,Stefano Biffo,"University of Milan [999995796,IT]",Advanced Grants,2013,2496000.0
311682,ALLELECHOKER,Enrico Maria Surace,"Telethon Foundation [999448716,IT]",Starting Grants,2012,1354840.0
311596,IEMTx,Nicola Brunetti-Pierri,"Telethon Foundation [999448716,IT]",Starting Grants,2012,1491520.0
322752,MeMeMe,Franco Berrino,"National Cancer Institute - Foundation IRCCS [998538759,IT]",Advanced Grants,2012,2499999.6
280611,RegeneratioNfix,Graziella Messina,"University of Milan [999995796,IT]",Starting Grants,2011,1386945.0
282085,RetGenTx,Alberto Auricchio,"Telethon Foundation [999448716,IT]",Starting Grants,2011,1500000.0
282413,SPHERE,Valentina Bollati,"University of Milan [999995796,IT]",Starting Grants,2011,1444742.0
293699,FAST,Roberto Testi,"University of Rome - Tor Vergata [999844864,IT]",Advanced Grants,2011,1496200.0
293714,FunMeta,Luigina Romani,"University of Perugia [999846319,IT]",Advanced Grants,2011,2299200.0
260888,CBCD,Enza Maria Valente,"University of Pavia [999893752,IT]",Starting Grants,2010,1367960.0
261178,CGT hemophilia A,Antonia Follenzi,"University of Eastern Piedmont [999905392,IT]",Starting Grants,2010,1123000.0
269022,i-MIRNOME,Sergio Abrignani,"University of Milan [999995796,IT]",Advanced Grants,2010,2496000.0
269051,QUIDPROQUO,"Giacinto Scoles, Giuseppe Toffoli","University of Udine [999899281,IT], University of Udine [999899281,IT]",Advanced Grants,2010,2979700.0
268632,RESET,Giuseppe Remuzzi,"Mario Negri Institute for Pharmacological Research [999661146,IT]",Advanced Grants,2010,2493000.0
250124,FunSel,Mauro Giacca,"International Centre for Genetic Engineering and Biotechnology [999470444,IT]",Advanced Grants,2009,1824000.0
249845,TARGETINGGENETHERAPY,Luigi Naldini,"Vita-Salute San Raffaele University [999854467,IT]",Advanced Grants,2009,2500000.0
204863,EpiFor,Vittoria Colizza,"Institute for Scientific Interchange - Turin (ISI Foundation) [999953116,IT]",Starting Grants,2007,684000.0
204279,ncRNAs-Splicing-FSHD,Davide Gabellini,"San Raffaele Hospital [953176030,IT]",Starting Grants,2007,1435140.0
101163496,FEEDRES,Camilla Sguotti,"University of Padua [999995602,IT]",Starting Grants,2024,1377554.0
101115960,EcoMEMO,Alberto Canarini,"University of Bologna [999993953,IT]",Starting Grants,2023,1451568.0
101045015,microTOUCH,Nicola Segata,"University of Trento [999841954,IT]",Consolidator Grants,2021,2394779.0
957533,PB3P,Nicola Segata,"Prebiomics [898136872,IT]",Proof of Concept,2020,150000.0
772284,IceCommunities,Gentile Francesco Ficetola,"University of Milan [999995796,IT]",Consolidator Grants,2017,1845773.0
716575,MetaPG,Nicola Segata,"University of Trento [999841954,IT]",Starting Grants,2016,1499482.0
682394,NIRV_HOST_INT,Mariangela Bonizzoni,"University of Pavia [999893752,IT]",Consolidator Grants,2015,1686875.0
101157871,BURnOUT,Velia Siciliano,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2023,150000.0
101077714,COnNect,Cecilia Laterza,"University of Padua [999995602,IT]",Starting Grants,2022,1500000.0
101053983,GrInSun,Roberto Bassi,"University of Verona [999838074,IT]",Advanced Grants,2021,2418313.0
950050,PREDICT-CARE,Pedro Miguel Mena Parreño,"University of Parma [999846028,IT]",Starting Grants,2020,2309518.0
966841,TICK,Anna Moroni,"University of Milan [999995796,IT]",Proof of Concept,2020,150000.0
852012,Synthetic T-rEX,Velia Siciliano,"Italian Institute of Technology [999596447,IT]",Starting Grants,2019,1496250.0
