Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
337135,Q-SEnS2,Paola Cappellaro,"European Laboratory for Non-linear Spectroscopy [999582479,IT]",Starting Grants,2013,1500000.0
615089,CRYSBEAM,Gianluca Cavoto,"National Institute for Nuclear Physics - Italy [999992789,IT]",Consolidator Grants,2013,1989746.0
340321,HOLMES,Stefano Ragazzi,"National Institute for Nuclear Physics - Italy [999992789,IT]",Advanced Grants,2013,3057067.0
307783,3D-QUEST,Fabio Sciarrino,"Sapienza University of Rome [999987745,IT]",Starting Grants,2012,1474800.0
308136,POLAFLOW,Daniele Sanvitto,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2012,1482600.0
307032,QuFerm2D,Giacomo Roati,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2012,1243200.0
307964,UDynI,Caterina Vozzi,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2012,1483967.0
307286,XD-STRING,Alessandro Tomasiello,"University of Milan -  Bicocca [999923531,IT]",Starting Grants,2012,679200.0
320873,SOX,Marco Pallavicini,"National Institute for Nuclear Physics - Italy [999992789,IT]",Advanced Grants,2012,3451600.0
279391,EDEQS,Pasquale Calabrese,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2011,1108000.0
279972,NPFlavour,Luca Silvestrini,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2011,1258920.0
291349,PHOTBOTS,Diederik Sybolt Wiersma,"European Laboratory for Non-linear Spectroscopy [999582479,IT]",Advanced Grants,2011,2200000.0
258325,AISENS,Marco Fattori,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2010,1068000.0
259684,QGPDyn,Vincenzo Greco,"University of Catania [999874061,IT]",Starting Grants,2010,655000.0
257126,SWARM,Irene Rosana Giardina,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2010,1124000.0
267985,DaMESyFla,Guido Martinelli,"International School for Advanced Studies - Trieste [999850878,IT]",Advanced Grants,2010,1439400.0
267915,OPTINF,Riccardo Zecchina,"Polytechnic University of Turin [999977754,IT]",Advanced Grants,2010,1260104.92
267159,QGBE,Sandro Stringari,"University of Trento [999841954,IT]",Advanced Grants,2010,1638560.0
247328,CriPheRaSy,Giorgio Parisi,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2009,2098800.0
247371,DISQUA,Massimo Inguscio,"European Laboratory for Non-linear Spectroscopy [999582479,IT]",Advanced Grants,2009,2500000.0
247115,LUCIFER,"Andrea Giuliani, Fernando Ferroni","National Institute for Nuclear Physics - Italy [999992789,IT], National Institute for Nuclear Physics - Italy [999992789,IT]",Advanced Grants,2009,3294400.0
227355,ELYCHE,Mauro Nisoli,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2008,2446200.0
201766,COMPLEXLIGHT,Claudio Conti,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2007,1085000.0
203479,QUPOL,Giovanni Modugno,"European Laboratory for Non-linear Spectroscopy [999582479,IT]",Starting Grants,2007,1230000.0
101163391,CHIROLE,Claudia Fasolato,"Sapienza University of Rome [999987745,IT]",Starting Grants,2024,1499544.0
101157420,MICROSENS,Emanuela Zaccarelli,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2023,150000.0
101124606,3DCuT,Nicola Poccia,"Leibniz Institute for Solid State and Materials Research Dresden [999544746,DE], University of Naples Federico II [999976590,IT]",Consolidator Grants,2023,1999712.5
101066434,MICROTECH,Emanuela Zaccarelli,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2022,150000.0
101042349,NANOWHYR,Marta De Luca,"Sapienza University of Rome [999987745,IT]",Starting Grants,2021,1499393.0
101053167,GLAXES,Giulio Monaco,"University of Padua [999995602,IT]",Advanced Grants,2021,2499876.0
860365,COBRAS,Daniele Fausti,"Sinctrotrone Trieste / Electtra Laboratory [999589851,IT]",Proof of Concept,2019,150000.0
862078,MAREP,Francesco De Angelis,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2019,150000.0
899315,TERASEC,Francesco Giazotto,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2019,150000.0
866127,CAPTUR3D,Francesco Cardarelli,"Normal Superior School of Pisa [999886962,IT]",Consolidator Grants,2019,1985750.0
866026,S-BaXIT,Pierre Thibault,"University of Trieste [999842051,IT]",Consolidator Grants,2019,2212913.75
834615,SYGMA,Roberto Di Leonardo,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2018,2397500.0
759187,SOFTWATER,John Russo,"Sapienza University of Rome [999987745,IT]",Starting Grants,2017,952561.0
758588,VARIAMOLS,Raffaello Potestio,"University of Trento [999841954,IT]",Starting Grants,2017,1339351.0
780333,ADMIRE,Roberto Di Leonardo,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2017,150000.0
677513,BioMNP,Giulia Rossi,"University of Genoa [999976687,IT]",Starting Grants,2015,1131250.0
677488,INCEPT,Daniele Fausti,"University of Trieste [999842051,IT]",Starting Grants,2015,1500000.0
679183,SPQRel,Rinaldo Trotta,"Sapienza University of Rome [999987745,IT]",Starting Grants,2015,1499962.5
681597,MIMIC,Emanuela Zaccarelli,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2015,1314375.0
692670,FIRSTORM,Michele Fabrizio,"International School for Advanced Studies - Trieste [999850878,IT]",Advanced Grants,2015,1422684.0
647725,NEURO-PATTERNS,Tommaso Fellin,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2014,1974000.0
615187,COMANCHE,Francesco Giazotto,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2013,1754897.0
616213,Neuro-Plasmonics,Francesco De Angelis,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2013,1388000.0
307940,SMART,Roberto Di Leonardo,"Sapienza University of Rome [999987745,IT]",Starting Grants,2012,1448400.0
320796,MODPHYSFRICT,Erio Tosatti,"International School for Advanced Studies - Trieste [999850878,IT]",Advanced Grants,2012,1550000.0
321122,SouLMan,Alessandro Tredicucci,"University of Pisa [999862712,IT]",Advanced Grants,2012,2180306.0
279004,DROEMU,Mauro Sbragaglia,"University of Rome - Tor Vergata [999844864,IT]",Starting Grants,2011,1170923.64
267746,MolNanoMaS,Roberta Sessoli,"University of Florence [999895789,IT]",Advanced Grants,2010,2269200.0
240524,SUPERBAD,Massimo Capone,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2009,1000000.0
226207,PATCHYCOLLOIDS,Francesco Sciortino,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2008,1559159.99
207916,FEMTOSCOPY,Tullio Scopigno,"Sapienza University of Rome [999987745,IT]",Starting Grants,2007,1544400.0
202804,TIMER,Claudio Masciovecchio,"Sinctrotrone Trieste / Electtra Laboratory [999589851,IT]",Starting Grants,2007,1792800.0
101163180,2D-PULSES,Giovanni Batignani,"Sapienza University of Rome [999987745,IT]",Starting Grants,2024,1498750.0
101165168,CO-TRANS-NET,Simona Ranallo,"University of Rome - Tor Vergata [999844864,IT]",Starting Grants,2024,1499750.0
101162875,MAtCHLESS,Riccardo Marin,"University of Venice [999897341,IT]",Starting Grants,2024,1500000.0
101166044,NEXUS,Gianluca Levi,"University of Trieste [999842051,IT]",Starting Grants,2024,1499999.0
101189340,ELIDIS,Francesco Ricci,"Biostructures and Biosystems National Institute (INBB) [998052207,IT]",Proof of Concept,2024,150000.0
