Project Number,Acronym,Researcher(s),Ateneo,Numero di organizzazioni,Grant Type,year,EU contribution
101052956,Beyond,Davide Bigoni,TRENTO,1,Advanced Grants,2021,2476084.0
101053309,NABUCCO,Chiara Bisagni,Politecnico di MILANO,1,Advanced Grants,2021,2342038.0
948225,B3YOND,Edoardo Albisetti,Politecnico di MILANO,1,Starting Grants,2020,1498385.0
949916,CO2CAP,Andrea Lamberti,Politecnico di TORINO,1,Starting Grants,2020,1497500.0
949229,CryForm,Elena Simone,Politecnico di TORINO,1,Starting Grants,2020,1963562.0
949388,PhyCo,Luca Magri,Politecnico di TORINO,1,Starting Grants,2020,1500000.0
948769,SuN2rise,Federico Bella,Politecnico di TORINO,1,Starting Grants,2020,1498750.0
966725,INSTANT,Enrico Tronconi,Politecnico di MILANO,1,Proof of Concept,2020,150000.0
966758,SPECTROKIN,Matteo Maestri,Politecnico di MILANO,1,Proof of Concept,2020,150000.0
101002724,RIDING,Agnese Seminara,GENOVA,1,Consolidator Grants,2020,1973485.0
850437,PRE-ECO,Alfonso Pagani,Politecnico di TORINO,1,Starting Grants,2019,1477901.0
852560,SYNBIO.ECM,Francesco Pasqualini,PAVIA,1,Starting Grants,2019,1999375.0
899431,DIANA,Carmen Giordano,Politecnico di MILANO,1,Proof of Concept,2019,150000.0
875183,IDEAL DRONE,Gian Paolo Cimellaro,Politecnico di TORINO,1,Proof of Concept,2019,150000.0
875268,PROTECHT,Carlo Spartaco Casari,Politecnico di MILANO,1,Proof of Concept,2019,150000.0
875015,PROVA,Alberto Guardone,Politecnico di MILANO,1,Proof of Concept,2019,150000.0
864697,EXTREMA,Francesco Topputo,Politecnico di MILANO,1,Consolidator Grants,2019,1972837.0
865633,SLIDE,Maria Clelia Righi,BOLOGNA,1,Consolidator Grants,2019,1403662.0
882340,Smart-TURB,Luca Biferale,"ROMA ""Tor Vergata""",1,Advanced Grants,2019,2248875.0
803213,HyGate,Alberto Giacomello,"ROMA ""La Sapienza""",1,Starting Grants,2018,1496250.0
841640,METADESIGN,Stefano Zapperi,MILANO,1,Proof of Concept,2018,149752.5
825159,MOAB,Manuela Teresa Raimondi,Politecnico di MILANO,1,Proof of Concept,2018,150000.0
816313,PAIDEIA,Francesco Scotognella,Politecnico di TORINO,1,Consolidator Grants,2018,1815445.0
759159,LASER OPTIMAL,Paola Saccomandi,Politecnico di MILANO,1,Starting Grants,2017,1499575.0
759467,MICRONEX,Elisa Cimetta,PADOVA,1,Starting Grants,2017,1446250.0
779751,INVICTUS,Carlo Massimo Casciola,"ROMA ""La Sapienza""",1,Proof of Concept,2017,150000.0
772168,BIORECAR,Valeria Chiono,Politecnico di TORINO,1,Consolidator Grants,2017,2000000.0
727261,IDEAL SENSOR,Gian Paolo Cimellaro,Politecnico di TORINO,1,Proof of Concept,2016,150000.0
754916,INTER,Matteo Passoni,Politecnico di MILANO,1,Proof of Concept,2016,149375.0
754467,NICHOIDS,Manuela Teresa Raimondi,Politecnico di MILANO,1,Proof of Concept,2016,150000.0
737447,PHYSIC,Marco Paggi,Scuola IMT Alti Studi LUCCA,1,Proof of Concept,2016,149500.0
724610,EspLORE,Carlo Spartaco Casari,Politecnico di MILANO,1,Consolidator Grants,2016,1981875.0
724734,MINERVA,Carmen Giordano,Politecnico di MILANO,1,Consolidator Grants,2016,1999194.0
741273,THUNDERR,Giovanni Solari,GENOVA,1,Advanced Grants,2016,2236161.66
679086,COMPASS,Camilla Colombo,Politecnico di MILANO,1,Starting Grants,2015,1499020.97
677423,SHAPE,Matteo Maestri,Politecnico di MILANO,1,Starting Grants,2015,1496250.0
693670,SILKENE,Nicola Maria Mario Pugno,TRENTO,1,Proof of Concept,2015,149943.75
681798,BOOST,Chiara Silvia Vitale Brovarone,Politecnico di TORINO,1,Consolidator Grants,2015,1977500.0
681813,FricLess,Lucia Nicola,PADOVA,1,Consolidator Grants,2015,1999985.0
694910,INTENT,Enrico Tronconi,Politecnico di MILANO,1,Advanced Grants,2015,2484648.0
637842,IDEal reSCUE,Gian Paolo Cimellaro,Politecnico di TORINO,1,Starting Grants,2014,1271138.0
639495,INTHERM,Alberto Fina,Politecnico di TORINO,1,Starting Grants,2014,1404132.0
647554,ENSURE,Matteo Passoni,Politecnico di MILANO,1,Consolidator Grants,2014,1887500.0
